prefix,bits,registry,vendor
70B3D5099,36,MA-S,Schwer+Kopka GmbH
70B3D509A,36,MA-S,AKSE srl
70B3D509B,36,MA-S,Jacarta Ltd
70B3D509C,36,MA-S,Cardinal Kinetic
70B3D509D,36,MA-S,PuS GmbH und Co. KG
70B3D509E,36,MA-S,MobiPromo
70B3D509F,36,MA-S,COMTECH Kft.
70B3D50A0,36,MA-S,"Cominfo, Inc."
70B3D50A1,36,MA-S,PTN Electronics Limited
70B3D50A2,36,MA-S,TechSigno srl
70B3D50A3,36,MA-S,Solace Systems Inc.
70B3D50A4,36,MA-S,Communication Technology Ltd.
70B3D50A5,36,MA-S,FUELCELLPOWER
70B3D50A6,36,MA-S,PA CONSULTING SERVICES
70B3D50A7,36,MA-S,"Traffic and Parking Control Co, Inc."
70B3D50A8,36,MA-S,Symetrics Industries d.b.a. Extant Aerospace
70B3D50A9,36,MA-S,"ProConnections, Inc."
70B3D50AA,36,MA-S,Wanco Inc
70B3D50AB,36,MA-S,KST technology
70B3D50AC,36,MA-S,RoboCore Tecnologia
70B3D50AD,36,MA-S,Vega-Absolute
70B3D50AE,36,MA-S,Norsat International Inc.
70B3D50AF,36,MA-S,KMtronic ltd
70B3D50B0,36,MA-S,"Raven Systems Design, Inc"
70B3D50B1,36,MA-S,AirBie AG
70B3D50B2,36,MA-S,ndb technologies
70B3D50B3,36,MA-S,Reonix Automation
70B3D50B4,36,MA-S,AVER
70B3D50B5,36,MA-S,Capgemini Netherlands
70B3D50B6,36,MA-S,Landis Gyr
70B3D50B7,36,MA-S,"HAI ROBOTICS Co., Ltd."
70B3D50B8,36,MA-S,Lucas-Nülle GmbH
70B3D50B9,36,MA-S,Easy Digital Concept
70B3D50BA,36,MA-S,"Ayre Acoustics, Inc."
70B3D50BB,36,MA-S,AnaPico AG
70B3D50BC,36,MA-S,Practical Software Studio LLC
70B3D50BD,36,MA-S,Andium
70B3D50BE,36,MA-S,Chamsys Ltd
70B3D50BF,36,MA-S,Den Automation
70B3D50C0,36,MA-S,"Molu Technology Inc., LTD."
70B3D50C1,36,MA-S,Nexus Technologies Pty Ltd
70B3D50C2,36,MA-S,LOOK EASY INTERNATIONAL LIMITED
70B3D50C3,36,MA-S,Aug. Winkhaus GmbH & Co. KG
70B3D50C4,36,MA-S,TIAMA
70B3D50C5,36,MA-S,Precitec Optronik GmbH
70B3D50C6,36,MA-S,"Embedded Arts Co., Ltd."
70B3D50C7,36,MA-S,PEEK TRAFFIC
70B3D50C8,36,MA-S,Fin Robotics Inc
70B3D50C9,36,MA-S,"LINEAGE POWER PVT LTD.,"
70B3D50CA,36,MA-S,VITEC
70B3D50CB,36,MA-S,NIRECO CORPORATION
70B3D50CC,36,MA-S,ADMiTAS CCTV Taiwan Co. Ltd
70B3D50CD,36,MA-S,AML Oceanographic
70B3D50CE,36,MA-S,Innominds Software Inc
70B3D50CF,36,MA-S,sohonet ltd
70B3D50D0,36,MA-S,ProHound Controles Eirelli
70B3D50D1,36,MA-S,Common Sense Monitoring Solutions Ltd.
70B3D50D2,36,MA-S,UNMANNED SPA
70B3D50D3,36,MA-S,TSAT AS
70B3D50D4,36,MA-S,"Guangzhou Male Industrial Animation Technology Co.,Ltd."
70B3D50D5,36,MA-S,Kahler Automation
70B3D50D6,36,MA-S,TATTILE SRL
70B3D50D7,36,MA-S,Russian Telecom Equipment Company
70B3D50D8,36,MA-S,Laser Imagineering GmbH
70B3D50D9,36,MA-S,Brechbuehler AG
70B3D50DA,36,MA-S,Aquavision Distribution Ltd
70B3D50DB,36,MA-S,Cryptotronix LLC
70B3D50DC,36,MA-S,Talleres de Escoriaza
70B3D50DD,36,MA-S,"Shenzhen Virtual Clusters Information Technology Co.,Ltd."
70B3D50DE,36,MA-S,Grossenbacher Systeme AG
70B3D50DF,36,MA-S,B.E.A. sa
70B3D50E0,36,MA-S,PLCiS
70B3D50E1,36,MA-S,"MiWave Consulting, LLC"
70B3D50E2,36,MA-S,JESE Ltd
70B3D50E3,36,MA-S,SinTau SrL
70B3D50E4,36,MA-S,Walter Müller AG
70B3D50E5,36,MA-S,Delta Solutions LLC
70B3D50E6,36,MA-S,Nasdaq
70B3D50E7,36,MA-S,Pure Air Filtration
70B3D50E8,36,MA-S,Grossenbacher Systeme AG
70B3D50E9,36,MA-S,VNT electronics s.r.o.
70B3D50EA,36,MA-S,AEV Broadcast Srl
70B3D50EB,36,MA-S,Tomahawk Robotics
70B3D50EC,36,MA-S,ACS MOTION CONTROL
70B3D50ED,36,MA-S,Lupa Tecnologia e Sistemas Ltda
70B3D50EE,36,MA-S,"Picture Elements, Inc."
70B3D50EF,36,MA-S,Dextera Labs
70B3D50F0,36,MA-S,Avionica
70B3D50F1,36,MA-S,"Beijing One City Science & Technology Co., LTD"
70B3D50F2,36,MA-S,"TrexEdge, Inc."
70B3D50F3,36,MA-S,"MonsoonRF, Inc."
70B3D50F4,36,MA-S,Visual Robotics
70B3D50F5,36,MA-S,Season Electronics Ltd
70B3D50F6,36,MA-S,KSE GmbH
70B3D50F7,36,MA-S,Bespoon
70B3D50F8,36,MA-S,"Special Services Group, LLC"
70B3D50F9,36,MA-S,"OOO Research and Production Center ""Computer Technologies"""
70B3D50FA,36,MA-S,"InsideRF Co., Ltd."
70B3D50FB,36,MA-S,Cygnus LLC
70B3D50FC,36,MA-S,vitalcare
70B3D50FD,36,MA-S,"JSC ""Ural Factories"""
70B3D50FE,36,MA-S,Vocality International Ltd
70B3D50FF,36,MA-S,INTERNET PROTOCOLO LOGICA SL
70B3D5100,36,MA-S,Gupsy GmbH
70B3D5101,36,MA-S,Adolf Nissen Elektrobau GmbH + Co. KG
70B3D5102,36,MA-S,Oxford Monitoring Solutions Ltd
70B3D5103,36,MA-S,"HANYOUNG NUX CO.,LTD"
70B3D5104,36,MA-S,Plum sp. z o.o
70B3D5105,36,MA-S,"Beijing Nacao Technology Co., Ltd."
70B3D5106,36,MA-S,Aplex Technology Inc.
70B3D5107,36,MA-S,"OOO ""Alyans"""
70B3D5108,36,MA-S,TEX COMPUTER SRL
70B3D5109,36,MA-S,DiTEST Fahrzeugdiagnose GmbH
70B3D510A,36,MA-S,SEASON DESIGN TECHNOLOGY
70B3D510B,36,MA-S,"SECUREAN CO.,Ltd"
70B3D510C,36,MA-S,Vocality International Ltd
70B3D510D,36,MA-S,CoreEL Technologies Pvt Ltd
70B3D510E,36,MA-S,"Colorimetry Research, Inc"
70B3D510F,36,MA-S,neQis
70B3D5110,36,MA-S,"Orion Power Systems, Inc."
70B3D5111,36,MA-S,Leonardo Sistemi Integrati S.r.l.
70B3D5112,36,MA-S,DiTEST Fahrzeugdiagnose GmbH
70B3D5113,36,MA-S,iREA System Industry
70B3D5114,36,MA-S,Project H Pty Ltd
70B3D5115,36,MA-S,Welltec Corp.
70B3D5116,36,MA-S,Momentum Data Systems
70B3D5117,36,MA-S,SysCom Automationstechnik GmbH
70B3D5118,36,MA-S,"Macromatic Industrial Controls, Inc."
70B3D5119,36,MA-S,YPP Corporation
70B3D511A,36,MA-S,Mahindra Electric Mobility Limited
70B3D511B,36,MA-S,HoseoTelnet Inc...
70B3D511C,36,MA-S,Samriddi Automations Pvt. Ltd.
70B3D511D,36,MA-S,Dakton Microlabs LLC
70B3D511E,36,MA-S,KBPR LLC
70B3D511F,36,MA-S,Geppetto Electronics
70B3D5120,36,MA-S,Televic Rail GmbH
70B3D5121,36,MA-S,Shenzhen Luxurite Smart Home Ltd
70B3D5122,36,MA-S,Henri Systems Holland bv
70B3D5123,36,MA-S,Amfitech ApS
70B3D5124,36,MA-S,Forschungs- und Transferzentrum Leipzig e.V.
70B3D5125,36,MA-S,"Securolytics, Inc."
70B3D5126,36,MA-S,AddSecure Smart Grids
70B3D5127,36,MA-S,VITEC
70B3D5128,36,MA-S,AKSE srl
70B3D5129,36,MA-S,"OOO ""Microlink-Svyaz"""
70B3D512A,36,MA-S,Elvys s.r.o
70B3D512B,36,MA-S,RIC Electronics
70B3D512C,36,MA-S,CIELLE S.R.L.
70B3D512D,36,MA-S,"S.E.I. CO.,LTD."
70B3D512E,36,MA-S,GreenFlux
70B3D512F,36,MA-S,DSP4YOU LTd
70B3D5130,36,MA-S,MG s.r.l.
70B3D5131,36,MA-S,Inova Design Solutions Ltd
70B3D5132,36,MA-S,Hagenuk KMT Kabelmesstechnik GmbH
70B3D5133,36,MA-S,Vidisys GmbH
70B3D5134,36,MA-S,Conjing Networks Inc.
70B3D5135,36,MA-S,DORLET SAU
70B3D5136,36,MA-S,Miguel Corporate Services Pte Ltd
70B3D5137,36,MA-S,Subject Link Inc
70B3D5138,36,MA-S,SMITEC S.p.A.
70B3D5139,36,MA-S,Tunstall A/S
70B3D513A,36,MA-S,DEUTA-WERKE GmbH
70B3D513B,36,MA-S,Sienna Corporation
70B3D513C,36,MA-S,Detec Systems Ltd
70B3D513D,36,MA-S,Elsist Srl
70B3D513E,36,MA-S,Stara S/A Indústria de Implementos Agrícolas
70B3D513F,36,MA-S,"Farmobile, LLC"
